wave_peak	wave_base	wave_top	note
480.40020000000004	480.3502	480.4502	La 2
480.40312000000006	480.3531	480.4531	La 2
480.40690000000006	480.3569	480.4569	La 2
512.29845	512.2485	512.3484	La 2
512.29956	512.2496	512.3496	La 2
530.35139	530.3014	530.4014	La 2
530.35317	530.3032	530.4032	La 2
530.3545799999999	530.3046	530.4046	La 2
593.61319	593.5632	593.6632	La 2
593.61481	593.5648	593.6648	La 2
593.6156699999999	593.5657	593.6657	La 2
593.6179	593.5679	593.6679	La 2
593.6190300000001	593.569	593.669	La 2
593.6219600000001	593.572	593.672	La 2
593.62334	593.5733	593.6733	La 2
593.62699	593.577	593.677	La 2
593.6286299999999	593.5786	593.6786	La 2
639.04567	638.9957	639.0957	La 2
639.0469	638.9969	639.0969	La 2
639.04858	638.9986	639.0986	La 2
639.05009	639.0001	639.1001	La 2
