ID1,ID2,RA,DEC,SPT,VMAG,B-V,E(B-V),TEFF,LOGG,FEH,VMIC,VSINI,ESO_VSINI,vsini_unc,colour,regions,Fe,CN,CC
psiPhe,hd_11695,01 53 38.74,-46 18 09.6,M4III,4.404,1.594,0.007,3362,0.44,-1.24,1.5,3,7,0,orange,"[3,4,5,6,7,8]",0.18,0.025,0.1
alfCet,hd_18884,03 02 16.773,04 05 23.06,M1.5IIIa,2.526,1.639,0.007,3796,0.68,-0.45,1.4,3,9,0,#ff7f0e,"[3,4,5,8,10]",0.18,0.65,10
betAra,hd_157244,17 25 17.99,-55 31 47.6,K3Ib-II,2.842,1.46,0,4197,1.05,-0.05,1.5,5.4,7,0,#2ca02c,"[1,3,4,5,10]",0.35,0.65,5.5
epsFor,hd_18907,03 01 37.637,-28 05 29.60,K2VFe-1.3 CH-0.8,5.883,0.79,0,5123,3.52,-0.6,1.2,4.2,7.95,1.76,#d62728,"[1,5,6,8,9]",0.18,0.65,10
epsEri,hd_22049,03 32 55.845,-09 27 29.73,K2Vk:,3.726,0.882,0.007,5076,4.61,-0.09,1.1,2.4,7,0,#9467bd,"[1,5,8]",1E-05,3.0,70
delEri,hd_23249,03 43 14.901,-09 45 48.21,K1III-IV,3.527,0.922,0.007,4954,3.76,0.06,1.2,0.7,7,0,#8c564b,"[1,5]",1E-05,5.0,70
alfCenB,hd_128621,14 39 35.063,-60 50 15.10,K1V,1.357,0.868,0.022,5231,4.53,0.22,1.1,1,0,0,#e377c2,"[1,5,8]",1E-05,5.0,70
tauCet,hd_10700,01 44 04.083,-15 56 14.93,G8.5V,3.495,0.727,0.007,5414,4.49,-0.49,1.1,0.4,10.32,1.14,#7f7f7f,"[1,4,5,8,9]",1E-05,5.0,70
ksiHya,hd_100407,11 33 00.115,-31 51 27.44,G7III,3.541,0.947,0.011,5044,2.87,0.16,1.1,2.4,7,0,#bcbd22,"[1,8,9]",1E-05,4.0,15
muAra,hd_160691,17 44 08.701,-51 50 02.59,G3IV-V,5.131,0.7,0,5902,4.3,0.35,1.2,2.2,0,0,#17becf,[1],1E-05,1.0,4.0
Sun,Sun,0,0,G2V,4.83,0,0,5778,4.43,0,1.5,1.6,0,0,orange,"[1,5,6,9]",1E-05,1.0,4.0
Sun,moon,0,0,G2V,4.83,0,0,5778,4.43,0,1.5,1.6,0,0,orange,"[1,5,6,9]",1E-05,1.0,4.0
alfCenA,hd_128620,14 39 36.494,-60 50 02.37,G2V,0.002,0.653,0.023,5792,4.31,0.26,1.2,1.9,0,0,#ff7f0e,[1],1E-05,1.0,4.0
18Sco,hd_146233,16 15 37.269,-08 22 09.99,G2Va,5.505,0.648,0.01,5810,4.44,0.03,1.2,2.2,7,0,#2ca02c,"[1,9]",1E-05,1.0,4.0
,hd_165499,18 10 25.85846667,-62 00 08.229,G0V,5.48,0.58,,5676.947,4.29,-0.07,1.5,2.5,0,0,#d62728,"[1,9]",1E-05,1.0,4.0
betHyi,hd_2151,00 25 45.0700,-77 15 15.29,G0V,2.797,0.617,0.005,5873,3.98,-0.04,1.3,3.3,0,0,#9467bd,"[1,9]",1E-05,1.0,4.0
betVir,hd_102870,11 50 41.718,01 45 52.99,F9V,3.608,0.551,0.008,6083,4.1,0.24,1.4,2,7,0,#8c564b,"[1,5,9]",1E-05,1.0,4.0
,hd_45588,06 27 11.36,-25 51 23.39,F8IV,6.07,0.54,,6168,4.27,0.08,1.5,8.8,0,0,#e377c2,"[1,9]",1E-05,1.0,4.0
,hd_156098,17 17 03.6458542704,-32 39 46.220745528,F6V,5.526,0.51,0.08,6273,3.815494,0.075,1.5,9.2,0,0,#7f7f7f,[5],1E-05,1.0,4.0
